"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Mrwhosetheboss","Science & Technology","United Kingdom","Other","United Kingdom","Europe","15400000","3736069980","670800.00","1499249232",2011
"Kurt Hugo Schneider","Entertainment","United States","Entertainment","United States","North America","13300000","3733856870","16900.00","1497537818",2007
"America's Got Talent","Entertainment","United States","Entertainment","United States","North America","24800000","3699352704","537600.00","1487342362",2006
"IDEAS EN 5 MINUTOS","Howto & Style","Spain","Other","Spain","Europe","16600000","3696973456","262.00","1483769461",2017
"Gato Galactico | GAL��","Film & Animation","Brazil","Film & Animation","Brazil","South America","16800000","3693798804","176500.00","1482612472",2013
"HowToBasic","Howto & Style","Australia","Other","Australia","Oceania","17300000","3684816159","62100.00","1479135094",2011
"TED-Ed","Education","United States","Education","United States","North America","18800000","3654621568","119500.00","1467524477",2011
"Mark Rober","Science & Technology","United States","Other","United States","North America","24600000","3647987299","354500.00","1466681270",2011
"tanboy kun","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","17700000","3647267655","192700.00","1464274872",2016
"Top Viral Talent","Entertainment","United States","Entertainment","United States","North America","12900000","3643698504","117500.00","1461384652",2014
"Talking Angela","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","12800000","3632438963","111800.00","1456849125",2014
"Marques Brownlee","Science & Technology","United States","Other","United States","North America","17200000","3606912471","209300.00","1447987778",2008
"Jesser","Gaming","United States","Gaming","United States","North America","14600000","3603556207","370400.00","1445913603",2012
"#Refugio Mental","Entertainment","Nothing","Entertainment","Nothing","Other","14100000","3594936775","27800.00","1442213050",2013
"MattyBRaps","Music","United States","Music","United States","North America","14800000","3587576784","91900.00","1439498284",2010
"Emiway Bantai","Music","India","Music","India","Asia","20400000","3579555124","165200.00","1437991610",2013
"Ei Nerd","Entertainment","Nothing","Entertainment","Nothing","Other","13200000","3568392223","0.00","1431316889",2007
"IDEIAS INCR��","Howto & Style","Brazil","Other","Brazil","South America","14500000","3551889957","11400.00","1425109403",2017
"Matt Stonie","Entertainment","United States","Entertainment","United States","North America","16300000","3527627264","119.00","1415940941",2010
"Bispo Bruno Leonardo","Nonprofits & Activism","Brazil","Other","Brazil","South America","16900000","3523578665","598200.00","1414680926",2016
"Lilly Singh","Comedy","Canada","Comedy","Canada","North America","14500000","3517662420","21300.00","1411421358",2010
"���������SULGI","People & Blogs","South Korea","People & Blogs","South Korea","Asia","12600000","3485373675","452500.00","1398065220",2012
"Marmok","Gaming","Russia","Gaming","Russia","Europe","18500000","3457618361","153100.00","1388643274",2008
"Anaysa","Howto & Style","India","Other","India","Asia","13500000","3445794123","118800.00","1382403289",2012
"Narendra Modi","News & Politics","India","Other","India","Asia","15800000","3392918989","743900.00","1362130766",2007
"TKOR","Education","Nothing","Education","Nothing","Other","12400000","3392022527","0.00","1360529011",2006
"Technical Guruji","Science & Technology","India","Other","India","Asia","23000000","3378047383","89000.00","1358145653",2015
"Stray Kids","People & Blogs","Nothing","People & Blogs","Nothing","Other","13300000","3364230487","0.01","1349682195",2007
"My Mate Nate","Comedy","Thailand","Comedy","Thailand","Asia","13400000","3363634923","166700.00","1349523979",2014
"Auron","People & Blogs","Spain","People & Blogs","Spain","Europe","14600000","3337074920","242300.00","1339282658",2013
"DangMattSmith","Entertainment","United States","Entertainment","United States","North America","14200000","3317805543","51600.00","1331397697",2011
"CarryMinati","Comedy","India","Comedy","India","Asia","39200000","3294013141","314800.00","1329459696",2014
"GEN HALILINTAR","Entertainment","Indonesia","Entertainment","Indonesia","Asia","18100000","3306242674","109200.00","1327959830",2015
"Morgz","Gaming","United Kingdom","Gaming","United Kingdom","Europe","12600000","3303595310","235400.00","1325288744",2014
"Matt Steffanina","Entertainment","United States","Entertainment","United States","North America","13300000","3299216601","7700.00","1323678950",2007
"Triggered Insaan","Comedy","India","Comedy","India","Asia","18800000","3276891538","436100.00","1316527445",2014
"F2Freestylers - Ultimate Soccer Skills Channel","Sports","United Kingdom","Other","United Kingdom","Europe","14100000","3280481927","40900.00","1316435041",2011
"HaerteTest","Science & Technology","Germany","Other","Germany","Europe","19800000","3234880084","22600.00","1299898814",2011
"INCR��","People & Blogs","Brazil","People & Blogs","Brazil","South America","18200000","3213324455","72200.00","1290811442",2017
"Alexa Rivera","Howto & Style","Nothing","Other","Nothing","Other","13900000","3193226072","571000.00","1281631729",2010
"BIBO�����","Entertainment","South Korea","Entertainment","South Korea","Asia","12900000","3178222797","16000.00","1275163919",2016
"Round2hell","Comedy","India","Comedy","India","Asia","30700000","3145161634","127300.00","1267312844",2016
"CaseyNeistat","People & Blogs","United States","People & Blogs","United States","North America","12600000","3152402405","23800.00","1264748102",2010
"M����","Travel & Events","Mexico","Other","Mexico","North America","12500000","3140883140","124000.00","1260140456",2015
"Cyprien","Comedy","France","Comedy","France","Europe","14400000","3086254545","45700.00","1238835528",2007
"PowerfulJRE","People & Blogs","United States","People & Blogs","United States","North America","15100000","3060202847","173600.00","1228663219",2013
"FailArmy","Comedy","United States","Comedy","United States","North America","16500000","3037260680","451900.00","1219989842",2011
"Antrax","Gaming","Mexico","Gaming","Mexico","North America","16000000","3029872908","18800.00","1216754803",2015
"YouTube","News & Politics","United States","Other","United States","North America","36300000","3010784935","84400.00","1215229294",1970
"wifistudy","Education","India","Education","India","Asia","16000000","3018032423","57100.00","1212030099",2014
"Chloe Ting","Howto & Style","Australia","Other","Australia","Oceania","24700000","2994726412","93100.00","1205328495",2011
"T3ddy","Comedy","Brazil","Comedy","Brazil","South America","16200000","2990185467","132100.00","1200973817",2012
"First We Feast","Howto & Style","United States","Other","United States","North America","12500000","2983799729","445000.00","1197403392",2014
"��������� Liziqi","Howto & Style","China","Other","China","Asia","17600000","2977741577","89400.00","1196403451",2017
"������������ ������������ I ������ �� ����������","Entertainment","Saudi Arabia","Entertainment","Saudi Arabia","Other","14400000","2972474215","18700.00","1193315296",2017
"Ami Rodriguez","Entertainment","Colombia","Entertainment","Colombia","South America","20200000","2951914200","1100000.00","1187155680",2009
"Dream","Gaming","United States","Gaming","United States","North America","31700000","2930015381","108100.00","1181548582",2014
"NishaMadhulika","Howto & Style","India","Other","India","Asia","13700000","2939201386","88900.00","1179817224",2009
"Dan-Sa / Daniel Saboya","Music","Brazil","Music","Brazil","South America","18500000","2908120896","0.00","1168798358",2007
"Vsauce","Science & Technology","Nothing","Other","Nothing","Other","19300000","2897907132","278500.00","1165036403",2007
"RaptorGamer","People & Blogs","Ecuador","People & Blogs","Ecuador","Other","13100000","2879263916","251600.00","1155711046",2016
"Gibby :)","People & Blogs","Mexico","People & Blogs","Mexico","North America","12400000","2862685032","41100.00","1148806343",2014
"HiMan","People & Blogs","Russia","People & Blogs","Russia","Europe","18900000","2855519150","98300.00","1147907150",2014
"AS Gaming","Gaming","United States","Gaming","United States","North America","19600000","2851024430","0.09","1146289772",2009
"The Shiny Peanut","Education","Indonesia","Education","Indonesia","Asia","12900000","2848466522","3400.00","1143257629",2016
"Timba Vk","Gaming","Spain","Gaming","Spain","Europe","12400000","2840137980","96100.00","1139804022",2012
"Kabita's Kitchen","Howto & Style","India","Other","India","Asia","13300000","2831275503","172500.00","1136551951",2014
"Werever2morro","Entertainment","Mexico","Entertainment","Mexico","North America","16600000","2798273962","0.00","1124289585",2010
"Noor Stars","Comedy","United Arab Emirates","Comedy","United Arab Emirates","Other","20200000","2764127969","62200.00","1111729848",2014
"Mariale","Howto & Style","United States","Other","United States","North America","15100000","2761547758","47800.00","1109163443",2010
"Mis Pastelitos","Howto & Style","Mexico","Other","Mexico","North America","14600000","2750902766","202700.00","1104801916",2014
"Conor Maynard","Music","United States","Music","United States","North America","13500000","2750993392","43100.00","1104460287",2006
"ZHC","Film & Animation","Nothing","Film & Animation","Nothing","Other","25500000","2726917087","0.08","1098416835",2006
"WiederDude","nan","United States","Other","United States","North America","13100000","2733682792","227600.00","1097471397",2016
"TheRichest","Education","United States","Education","United States","North America","15000000","2730879024","0.00","1096851610",2006
"#Ref����","Entertainment","Nothing","Entertainment","Nothing","Other","12700000","2709954270","27800.00","1087800048",2013
"MrBeast en Espa��","Entertainment","Mexico","Entertainment","Mexico","North America","24200000","2700914170","134400.00","1087665988",2021
"Canal IN","People & Blogs","Brazil","People & Blogs","Brazil","South America","16100000","2687443643","55200.00","1079824017",2017
"Davie504","Entertainment","Italy","Entertainment","Italy","Europe","13000000","2683297849","119500.00","1077254990",2011
"FC Barcelona","Sports","Spain","Other","Spain","Europe","15300000","2656528205","339500.00","1067303132",2006
"Blockbuster Movies","Entertainment","India","Entertainment","India","Asia","13400000","2650061211","0.00","1064044484",2017
"Doc Tops","Entertainment","Ecuador","Entertainment","Ecuador","Other","14600000","2613197447","65600.00","1049678659",2014
"jeffreestar","Howto & Style","United States","Other","United States","North America","15900000","2609358468","8000.00","1048515787",2006
"Gustavo Par��","Comedy","Brazil","Comedy","Brazil","South America","12400000","2602614088","0.00","1044765635",2010
"Yuya","Howto & Style","Mexico","Other","Mexico","North America","24800000","2588501115","1300.00","1042840836",2009
"TED","People & Blogs","United States","People & Blogs","United States","North America","23100000","2551113422","53000.00","1027391269",2006
"Painzeiro","People & Blogs","Brazil","People & Blogs","Brazil","South America","13100000","2555801802","176000.00","1026303521",2015
"Ninja","Gaming","United States","Gaming","United States","North America","23700000","2543809954","33500.00","1024644032",2011
"gymvirtual","Sports","Spain","Other","Spain","Europe","12900000","2509752944","48000.00","1007785578",2010
"��������/Atro","Gaming","Netherlands","Gaming","Netherlands","Europe","13800000","2480957682","220500.00","996589223",2017
"The Slow Mo Guys","Entertainment","United States","Entertainment","United States","North America","14700000","2465473772","75900.00","990622279",2010
"Got Talent Global","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","20300000","2441288701","345800.00","982709220",2013
"�������� ����������������������","Entertainment","United States","Entertainment","United States","North America","16500000","2440934034","87800.00","981349954",2014
"Goldmines Cineplex","Film & Animation","India","Film & Animation","India","Asia","22500000","2431154438","195000.00","979270275",2015
"Musas","Howto & Style","Andorra","Other","Andorra","Other","15100000","2400037562","0.34","964545025",2006
"LOUD","Gaming","United States","Gaming","United States","North America","12400000","2394143260","110.00","961377337",2006
"Amit Bhadana","Entertainment","Nothing","Entertainment","Nothing","Other","24300000","2380248899","0.02","959389560",2009
"Kurzgesagt ������","Education","Germany","Education","Germany","Europe","20800000","2378448129","117100.00","957654382",2013
"ATHLEAN-X�","Howto & Style","United States","Other","United States","North America","13400000","2319515787","58000.00","931843715",2006
"DeToxoMoroxo","Entertainment","Nothing","Entertainment","Nothing","Other","16800000","2315962318","0.00","931424927",2016
"bharatzkitchen HINDI","Howto & Style","India","Other","India","Asia","12400000","2315226648","123900.00","929847829",2016
"Sandeep Maheshwari","People & Blogs","Singapore","People & Blogs","Singapore","Other","27800000","2303069221","0.00","929567688",2008
"MissaSinfonia","Comedy","Mexico","Comedy","Mexico","North America","17600000","2274007523","109800.00","914915949",2011
"Trakin Tech","Science & Technology","India","Other","India","Asia","13300000","2262690743","174700.00","909118707",2011
"DLS News","News & Politics","India","Other","India","Asia","19400000","2255542592","128400.00","908075557",2017
"Darkar Company Studios","Film & Animation","United States","Film & Animation","United States","North America","13900000","2244318380","18400.00","901902872",2009
"FactTechz","Entertainment","India","Entertainment","India","Asia","17500000","2238134438","84200.00","900529035",2016
"���������� ������������","Entertainment","Saudi Arabia","Entertainment","Saudi Arabia","Other","14700000","2230986039","10800.00","896807656",2016
"Airrack","Entertainment","United States","Entertainment","United States","North America","13800000","2224911030","398600.00","894223992",2015
"Gyan Gaming�","Gaming","India","Gaming","India","Asia","14400000","2224121890","55600.00","893985436",2017
"Narins Beauty","Howto & Style","Sweden","Other","Sweden","Europe","14000000","2214167846","54800.00","889883578",2014
"Panda","nan","United Kingdom","Other","United Kingdom","Europe","12300000","2214684303","268.00","889563802",2006
"Ryan Trahan","Entertainment","United States","Entertainment","United States","North America","13100000","2182651464","0.99","876990586",2022
"Liza Koshy","Comedy","United States","Comedy","United States","North America","17100000","2173106162","7000.00","874374565",2013
"Veritasium","Education","United States","Education","United States","North America","13900000","2165885634","176600.00","870577234",2010
"Daftar Populer","Education","Indonesia","Education","Indonesia","Asia","15100000","2143140898","68900.00","861807029",2017
"Juan De Dios Pantoja","Entertainment","Mexico","Entertainment","Mexico","North America","23600000","2135644776","187400.00","861394130",2014
"The World Adventures ������","People & Blogs","India","People & Blogs","India","Asia","13400000","2139769210","4200.00","859928944",2016
"Desi Gamers","Gaming","Nothing","Gaming","Nothing","Other","13700000","2135195239","0.02","858188096",2020
"Neha Kakkar","Music","India","Music","India","Asia","14100000","2131548711","102400.00","856880204",2012
"Make Joke Of","Comedy","India","Comedy","India","Asia","12300000","2129773714","96000.00","855628286",2017
"Acenix","Gaming","Spain","Gaming","Spain","Europe","13600000","2122062016","189700.00","852961716",2014
"Pastor Ant�����","People & Blogs","Brazil","People & Blogs","Brazil","South America","12900000","2112274210","127200.00","848817844",2013
"TommyInnit","Gaming","United Kingdom","Gaming","United Kingdom","Europe","14200000","2084791147","217200.00","838241619",2015
"Khan GS Research Centre","Education","Nothing","Education","Nothing","Other","21200000","2073073070","0.00","835589228",2017
"Brawl Stars","Gaming","Finland","Gaming","Finland","Other","13200000","2036408398","81500.00","818547809",2017
"Goldmines Premiere","Entertainment","India","Entertainment","India","Asia","13700000","1973638757","150600.00","793610683",2013
"DEV Ke Facts","nan","India","Other","India","Asia","12400000","1971226335","1100000.00","792540534",2012
"O Que N������","Comedy","Brazil","Comedy","Brazil","South America","13700000","1967930734","351200.00","791387654",2015
"MAIKI021","Entertainment","Brazil","Entertainment","Brazil","South America","13700000","1950178163","29800.00","784190205",2008
"DALLMYD","Sports","United States","Other","United States","North America","13600000","1948925559","122700.00","783687034",2011
"Knowledge Tv ������","People & Blogs","Nothing","People & Blogs","Nothing","Other","13100000","1936582704","0.01","778563082",2019
"Wengie","Howto & Style","United States","Other","United States","North America","13500000","1900272833","5300.00","764160723",2010
"Canal Canalha","Comedy","Brazil","Comedy","Brazil","South America","20800000","1870608170","95600.00","754511948",2011
"����������","People & Blogs","Russia","People & Blogs","Russia","Europe","15900000","1845329502","0.00","742901801",2017
"CrashCourse","Education","United States","Education","United States","North America","14800000","1833519700","28700.00","737856490",2006
"Hacksmith Industries","Science & Technology","Canada","Other","Canada","North America","13800000","1820559912","335800.00","732464705",2006
"JennaMarbles","Comedy","United States","Comedy","United States","North America","19700000","1803249241","15100.00","727214226",2010
"Totoy kids - Portugu�","Film & Animation","Brazil","Film & Animation","Brazil","South America","20400000","1796227417","158000.00","724658367",2014
"Harsh Beniwal","Comedy","India","Comedy","India","Asia","15400000","1781226000","111900.00","717143970",2015
"NikkieTutorials","Howto & Style","Netherlands","Other","Netherlands","Europe","14200000","1778318927","143700.00","715630681",2008
"It's Mamix","People & Blogs","United States","People & Blogs","United States","North America","15100000","1777072487","63900.00","715378165",2017
"Ranz Kyle","People & Blogs","Philippines","People & Blogs","Philippines","Asia","15100000","1760131384","49500.00","708597404",2008
"CookingShooking Hindi","People & Blogs","India","People & Blogs","India","Asia","13200000","1758603195","46000.00","707415078",2017
"Lotus Music","nan","India","Other","India","Asia","14500000","1739129375","92100.00","700029380",2021
"Go Ami Go!","People & Blogs","Colombia","People & Blogs","Colombia","South America","12700000","1714955279","1300000.00","690182112",2015
"Dr. Vivek Bindra: Motivational Speaker","Education","India","Education","India","Asia","20900000","1693149479","114400.00","683564112",2013
"Lofi Girl","Music","France","Music","France","Europe","13000000","1698279553","121900.00","683248391",2015
"Hero Movies 2023","People & Blogs","Nothing","People & Blogs","Nothing","Other","12400000","1689090619","87300.00","679382438",2017
"Free Fire India Official","People & Blogs","India","People & Blogs","India","Asia","12300000","1674409945","258900.00","673531648",2018
"Technoblade","Gaming","United States","Gaming","United States","North America","16300000","1656452554","71800.00","667492562",2013
"LOKESH GAMER","Gaming","India","Gaming","India","Asia","15300000","1640078055","23700.00","660628332",2017
"Drawblogs","Entertainment","Peru","Entertainment","Peru","South America","14400000","1629801448","4000.00","656241779",2014
"colinfurze","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","12500000","1612094871","33900.00","648598118",2006
"Naisa Alifia Yuriza (N.A.Y)","People & Blogs","Indonesia","People & Blogs","Indonesia","Asia","18300000","1606834186","68300.00","648244164",2017
"JukiLop","People & Blogs","Mexico","People & Blogs","Mexico","North America","19400000","1577859332","9500.00","636966583",2017
"YOLO","Comedy","Germany","Comedy","Germany","Europe","21400000","1573058816","0.00","635643526",2013
"Kim Loaiza","Music","Nothing","Music","Nothing","Other","15100000","1576633086","104200.00","635214494",2019
"IShowSpeed","Gaming","United States","Gaming","United States","North America","18300000","1556003039","561000.00","628059516",2016
"Mobile Legends: Bang Bang","Gaming","United States","Gaming","United States","North America","15400000","1543608082","221500.00","622129683",2016
"Dyland PROS","Entertainment","Indonesia","Entertainment","Indonesia","Asia","16100000","1517638132","38500.00","611896803",2015
"Caeli YT","Entertainment","Mexico","Entertainment","Mexico","North America","15600000","1511794214","0.00","609397686",2010
"Canal Nostalgia","Entertainment","Spain","Entertainment","Spain","Europe","14700000","1506796393","906.00","607128829",2010
"JD Pantoja","People & Blogs","Nothing","People & Blogs","Nothing","Other","13800000","1493776391","54100.00","601666786",2017
"Niana Guerrero","Entertainment","Philippines","Entertainment","Philippines","Asia","15200000","1491452935","39900.00","601153144",2013
"Ian Lucas","Entertainment","Nothing","Entertainment","Nothing","Other","12700000","1450874545","0.00","584159818",2016
"Alex Gonzaga Official","People & Blogs","Philippines","People & Blogs","Philippines","Asia","13100000","1401914513","43400.00","564708825",2017
"Yair17","Gaming","Mexico","Gaming","Mexico","North America","12500000","1402042328","35500.00","564577581",2014
"Dear Sir","Education","India","Education","India","Asia","15800000","1349288771","96200.00","544484368",2016
"Maha Fun Tv","Entertainment","United States","Entertainment","United States","North America","14700000","1321380490","19100.00","532967926",2017
"Ivana Alawi","nan","Philippines","Other","Philippines","Asia","16600000","1318442641","60300.00","532375146",2018
"Ja Mill","People & Blogs","Nothing","People & Blogs","Nothing","Other","12500000","1302818088","0.00","524877235",2006
"BUDI01 GAMING","Gaming","Indonesia","Gaming","Indonesia","Asia","13500000","1181292450","53700.00","476583090",2019
"FACT FIRE KING","nan","India","Other","India","Asia","12700000","1159290255","205200.00","467587662",2020
"BIBO ������","Entertainment","Russia","Entertainment","Russia","Europe","13200000","1148422000","35100.00","463339330",2019
"Technology Gyan","Science & Technology","India","Other","India","Asia","13200000","1138262456","74100.00","459287212",2015
"People Vs Food","Entertainment","United States","Entertainment","United States","North America","12500000","1136534702","61400.00","458382301",2013
"SAAIHALILINTAR","Entertainment","Indonesia","Entertainment","Indonesia","Asia","12400000","1113066203","3200.00","448947441",2012
"Piuzinho","Gaming","Brazil","Gaming","Brazil","South America","12700000","1081285962","14500.00","436328735",2015
"Apple","Science & Technology","United States","Other","United States","North America","17300000","1026425106","185900.00","415815812",2005
"Everson Zoio","Comedy","Brazil","Comedy","Brazil","South America","13000000","1024467771","12200.00","413690768",2009
"Prajapati News","Comedy","India","Comedy","India","Asia","17000000","1001465469","30500.00","405695338",2013
"Health Time","Howto & Style","India","Other","India","Asia","12500000","1002219689","5600.00","404639556",2016
"Stubborn Facts","Film & Animation","India","Film & Animation","India","Asia","17300000","902225615","3400.00","366081266",2016
"Zeinab Harake","nan","Philippines","Other","Philippines","Asia","13600000","896891351","48400.00","362851060",2017
"Pok���������","People & Blogs","India","People & Blogs","India","Asia","15200000","857725714","261500.00","347728736",2017
"���������������������","Entertainment","South Korea","Entertainment","South Korea","Asia","14400000","600154268","5500.00","244383357",2017
"Vevo","Music","United States","Music","United States","North America","20000000","559765455","5300.00","229907772",2006
"RobTopGames","Gaming","Sweden","Gaming","Sweden","Europe","12300000","374123483","15500.00","153344043",2012
"NOBRU","Gaming","Nothing","Gaming","Nothing","Other","14400000","351763324","0.01","145025330",2006
"Super JoJo - Nursery Rhymes & Kids Songs","nan","United States","Other","United States","North America","24100000","329774870","1300000.00","139529948",2019
"Wolfoo Channel","nan","Pakistan","Other","Pakistan","Other","13000000","301547793","2.00","124519118",2021
"Beast Philanthropy","People & Blogs","Germany","People & Blogs","Germany","Europe","14800000","272678287","152.00","113511360",2015
"Manoj  parihar","nan","India","Other","India","Asia","19300000","264228052","148700.00","111525831",2021
"Wolfoo Family","nan","United States","Other","United States","North America","12500000","161254021","0.00","68251608",2019
"Matheus Yurley","Entertainment","Brazil","Entertainment","Brazil","South America","12900000","140022442","591.00","59879154",2015
"YouTube Movies","Film & Animation","United States","Film & Animation","United States","North America","170000000","0","0.05","51000000",2006
"Music","nan","Nothing","Other","Nothing","Other","119000000","0","0.00","35700000",2013
"Gaming","nan","Nothing","Other","Nothing","Other","93600000","0","0.00","28080000",2013
"Sports","nan","United States","Other","United States","North America","75000000","0","0.06","22500000",2006
"Vibhu 96","nan","India","Other","India","Asia","13400000","20563378","81100.00","12269681",2022
"News","nan","Nothing","Other","Nothing","Other","36300000","0","0.00","10890000",2013
"Popular on YouTube","nan","Nothing","Other","Nothing","Other","29300000","0","0.00","8790000",2017
"Calon Sarjana","Entertainment","Indonesia","Entertainment","Indonesia","Asia","13000000","10664585","0.00","8165834",2016
"Happy Lives","Science & Technology","United States","Other","United States","North America","23200000","2634","0.00","6961054",2016
"Minecraft - Topic","nan","Nothing","Other","Nothing","Other","20900000","0","0.00","6270000",2013
"Live","nan","Nothing","Other","Nothing","Other","16100000","0","0.00","4830000",2015
"������","People & Blogs","Russia","People & Blogs","Russia","Europe","14900000","439098","31.00","4645649",2008
